,case_vignette,choice_1,choice_2,choice_3,choice_4,answer,category,dataset,case_id
658,"A 70-year-old man comes to the physician because of episodes of watery stools for the past 6 weeks. During this period, he has also had recurrent episodes of reddening of the face, neck, and chest that last up to 30 minutes, especially following alcohol consumption. He has hypertension. He smoked one pack of cigarettes daily for 20 years but quit 8 years ago. He drinks two glasses of wine daily. Current medications include enalapril. He appears pale. He is 185 cm (6 ft 1 in) tall and weighs 67 kg (147.7 lb); BMI is 19.6 kg/m2. His temperature is 36.7°C (98°F), pulse is 85/min, and blood pressure is 130/85 mm Hg. Scattered expiratory wheezing is heard throughout both lung fields. Cardiac examination shows no abnormalities. The abdomen is soft and mildly tender. The remainder of the physical examination shows no abnormalities. A complete blood count and serum concentrations of urea nitrogen and creatinine are within the reference range. Which of the following is the most likely diagnosis in this patient?",Hodgkin lymphoma,Polycythemia vera,VIPoma,Carcinoid syndrome,Carcinoid syndrome,Gastrointestinal System,MedQA_USMLE,case_658
659,"A 29-year-old woman comes to the physician for the evaluation of progressive loss of vision in her left eye and gradual blurring of vision in her right eye over the past 2 months. She also says that she has had occasional headaches and has noticed a decrease in her sense of smell lately. The patient's only medication is fexofenadine for seasonal allergies. She is 158 cm (5 ft 2 in) tall and weighs 61 kg (135 lbs); BMI is 24.7 kg/m2. Vital signs are within normal limits. Visual acuity is 20/40 in the right eye and there is minimal light perception in the left eye. In the swinging flashlight test, both of her eyes dilate as the light moves from the right to left eye. Fundoscopy shows papilledema in the right optic disc and a pale left optic disc. The remainder of the examination shows no abnormalities. Which of the following is the most likely diagnosis?",Meningioma,Anterior ischemic optic neuropathy,Hereditary optic neuropathy,Pseudotumor cerebri,Meningioma,Neurology,MedQA_USMLE,case_659
661,"A 36-year-old woman, gravida 1, para 1, has back pain and numbness in her lower extremities after an emergency cesarean delivery of a healthy 3856-g (8-lb, 8-oz) newborn male. She had a placental abruption and lost approximately 2000 ml of blood. During the procedure, she received two units of packed red blood cells and intravenous fluids. She has no history of serious illness and takes no medications. She is sexually active with one male partner, and they use condoms inconsistently. She is alert and oriented to person, place, and time. Her temperature is 37.2°C (98.9°F), pulse is 90/min, respirations are 15/min, and blood pressure is 94/58 mm Hg. Examination shows decreased sensation to temperature and pinprick below her waist and 0/5 muscle strength in her lower extremities. She feels the vibrations of a tuning fork placed on both of her great toes. Deep tendon reflexes are absent in the lower extremities and 2+ in the upper extremities. Which of the following is the most likely diagnosis?",Anterior spinal artery syndrome,Tabes dorsalis,Posterior spinal artery syndrome,Guillain-Barré Syndrome,Anterior spinal artery syndrome,Neurology,MedQA_USMLE,case_661
662,"A 9-year-old girl is brought to her primary care physician because of a 4-month history of early morning headaches and worsening fatigue. The headaches are often accompanied by nausea and sometimes relieved by vomiting. She stopped going to her ballet lessons 2 weeks ago because she was embarrassed about falling frequently and having increasing difficulty performing the steps. Her temperature is 36.8°C (98.2°F), pulse is 98/min, and blood pressure is 105/65 mm Hg. She has a broad-based gait. While standing with both feet together and raising her arms, closing her eyes does not affect her balance. She is unable to perform rapid, alternating movements with her hands. An MRI of the brain is shown. Which of the following is the most likely diagnosis?",Ependymoma,Acoustic schwannoma,Pilocytic astrocytoma,Medulloblastoma,Pilocytic astrocytoma,Neurology,MedQA_USMLE,case_662
664,"A 64-year-old woman comes to the physician because of a 7.2-kg (16-lb) weight loss over the past 6 months. For the last 4 weeks, she has also had intermittent constipation and bloating. Four months ago, she spent 2 weeks in Mexico with her daughter. She has never smoked. She drinks one glass of wine daily. She appears thin. Her temperature is 38.3°C (101°F), pulse is 80/min, and blood pressure is 136/78 mm Hg. The lungs are clear to auscultation. The abdomen is distended and the liver is palpable 4 cm below the right costal margin with a hard, mildly tender nodule in the left lobe. Test of the stool for occult blood is positive. Serum studies show:
Alkaline phosphatase 67 U/L
AST 65 U/L
ALT 68 U/L
Hepatitis B surface antigen negative
Hepatitis C antibody negative
A contrast-enhanced CT scan of the abdomen is shown. Which of the following is the most likely diagnosis?""",Liver abscess,Hepatic echinococcal cysts,Metastatic colorectal cancer,Hepatocellular carcinoma,Metastatic colorectal cancer,Hematology and Oncology,MedQA_USMLE,case_664
665,"A 65-year-old man comes to the physician because of a 6-month history of muscle weakness. During this period, the patient has had low energy, intermittent nosebleeds, and a 5-kg (11-lb) weight loss. He also reports progressive hearing and vision problems. He has a history of pins-and-needles sensation, numbness, and pain in his feet. Vital signs are within normal limits. Physical examination shows a palpable liver tip 2–3 cm below the right costal margin. There is nontender lympadenopathy in the groins, axillae, and neck. Laboratory studies show:
Hemoglobin 8.8 g/dL
White blood cells 6,300/mm3
Platelet count 98,000/mm3
Erythrocyte sedimentation rate 70 mm/h
Serum
Na+ 136 mmol/L
K+ 3.6 mmol/L
Cr 1.3 mg/dL
Ca2+ 8.6 mg/dL
Aspartate aminotransferase 32 U/L
Alanine aminotransferase 36 U/L
Alkaline phosphatase 100 U/L
Lactate dehydrogenase 120 U/L
A serum protein electrophoresis exhibits a sharp, narrow spike of monoclonal IgM immunoglobulin. Which of the following is the most likely diagnosis?""",Multiple myeloma,Chronic lymphocytic leukemia,Hairy cell leukemia,Waldenstrom macroglobulinemia,Waldenstrom macroglobulinemia,Hematology and Oncology,MedQA_USMLE,case_665
666,"A 3-month-old boy is brought to the physician by his parents for the evaluation of a rash on his scalp and forehead. The parents report that the rash has been present for several weeks. They state that the rash is sometimes red and scaly, especially when it is cold. The patient was born at 36 weeks' gestation and has generally been healthy since. His father has psoriasis. The patient appears comfortable. Examination shows several erythematous patches on the scalp, forehead, and along the hairline. Some patches are covered by greasy yellow scales. Which of the following is the most likely diagnosis?",Impetigo,Seborrheic keratosis,Seborrheic dermatitis,Psoriasis,Seborrheic dermatitis,Dermatology,MedQA_USMLE,case_666
667,"A 6-year-old girl is brought to the physician for pain and increasing swelling over her scalp for 1 month. She has not had any trauma to the area. There is no family or personal history of serious illness. Vital signs are within normal limits. Examination shows a 3-cm solitary, tender mass over the right parietal bone. X-ray of the skull shows a solitary osteolytic lesion. Laboratory studies show:
Hemoglobin 10.9 g/dL
Leukocyte count 7300/mm3
Serum
Na+ 136 mEq/L
K+ 3.7 mEq/L
Cl- 103 mEq/L
Ca2+ 9.1 mg/dL
Glucose 71 mg/dL
Which of the following is the most likely diagnosis?""",Giant-cell tumor of bone,Langerhans cell histiocytosis,Aneurysmal bone cyst,Osteitis fibrosa cystica,Langerhans cell histiocytosis,Hematology and Oncology,MedQA_USMLE,case_667
668,"A 36-year-old man is brought to the emergency department for right upper quadrant abdominal pain that began 3 days ago. The pain is nonradiating and has no alleviating or exacerbating factors. He denies any nausea or vomiting. He immigrated from Mexico 6 months ago and currently works at a pet shop. He has been healthy except for 1 week of bloody diarrhea 5 months ago. He is 182 cm (5 ft 11 in) tall and weighs 120 kg (264 lb); BMI is 36 kg/m2. His temperature is 101.8°F (38.8°C), pulse is 85/min, respirations are 14/min, and blood pressure is 120/75 mm Hg. Lungs are clear to auscultation. He has tenderness to palpation in the right upper quadrant. Laboratory studies show:
Hemoglobin 11.7 g/dL3
Leukocyte Count 14,000/mm
Segmented neutrophils 74%
Eosinophils 2%
Lymphocytes 17%
Monocytes 7%
Platelet count 140,000/mm3
Serum
Na+ 139 mEq/L
Cl- 101 mEq/L
K+ 4.4 mEq/L
HCO3- 25 mEq/L
Urea nitrogen 8 mg/dL
Creatinine 1.6 mg/dL
Total bilirubin 0.4 mg/dL
AST 76 U/L
ALT 80 U/L
Alkaline phosphatase 103 U/L
Ultrasonography of the abdomen shows a 4-cm round, hypoechoic lesion in the right lobe of the liver with low-level internal echoes. Which of the following is the most likely diagnosis?""",Hepatocellular carcinoma,Pyogenic liver abscess,Liver hemangioma,Amebiasis,Amebiasis,Gastrointestinal System,MedQA_USMLE,case_668
669,"A 36-year-old woman comes to the physician because of a painless lump on her neck for 3 months that has increased in size. She appears healthy. Examination shows a 2.5-cm (1-in) firm, irregular swelling on the left side of the neck that moves with swallowing. There is painless cervical lymphadenopathy. Ultrasound of the neck shows a solitary left lobe thyroid mass with increased vascularity and hyperechogenic punctate regions. A fine needle aspiration biopsy is scheduled for the following week. Which of the following is the most likely diagnosis?",Medullary carcinoma of the thyroid,Anaplastic carcinoma of the thyroid,Follicular carcinoma of the thyroid,Papillary carcinoma of the thyroid,Papillary carcinoma of the thyroid,Endocrinology,MedQA_USMLE,case_669
